traceid,activity,end_time
6_1307,CreateSalesOrder,2020-01-02 02:41:04.904502
6_1528,CreateSalesOrder,2020-01-02 02:54:06.722018
6_1130,CreateSalesOrder,2020-01-02 04:24:28.314164
6_1108,CreateSalesOrder,2020-01-02 04:44:28.301366
6_1307,CreateDelivery,2020-01-02 07:22:19.017015
6_1351,CreateSalesOrder,2020-01-02 07:38:41.739907
6_1483,CreateSalesOrder,2020-01-02 08:47:24.465248
6_1243,CreateSalesOrder,2020-01-02 09:04:20.152947
6_1344,CreateSalesOrder,2020-01-02 09:32:37.216119
6_1560,CreateSalesOrder,2020-01-02 09:36:24.049045
6_1170,CreateSalesOrder,2020-01-02 10:40:59.745635
6_1454,CreateSalesOrder,2020-01-02 11:24:02.386523
6_1243,ChangeSalesOrderItem,2020-01-02 12:05:10.800728
6_1522,CreateSalesOrder,2020-01-02 12:13:51.921693
6_1489,CreateSalesOrder,2020-01-02 12:41:21.574204
6_1189,CreateSalesOrder,2020-01-02 12:43:00.432674
6_1600,CreateSalesOrder,2020-01-02 13:16:36.366614
6_1535,CreateSalesOrder,2020-01-02 13:27:36.197444
6_1220,CreateSalesOrder,2020-01-02 13:40:29.153324
6_1024,CreateSalesOrder,2020-01-02 13:48:39.542222
6_1351,ChangeSalesOrderItem,2020-01-02 13:53:42.017726
6_1157,CreateSalesOrder,2020-01-02 14:25:18.135694
6_1359,CreateSalesOrder,2020-01-02 14:41:19.383103
6_1496,CreateSalesOrder,2020-01-02 14:51:38.014502
6_1505,CreateSalesOrder,2020-01-02 15:03:32.441816
6_1413,CreateSalesOrder,2020-01-02 15:38:23.446654
6_1018,CreateSalesOrder,2020-01-02 15:43:33.103671
6_1221,CreateSalesOrder,2020-01-02 15:48:39.035901
6_1213,CreateSalesOrder,2020-01-02 16:08:31.639071
6_1220,ChangeSalesOrderItem,2020-01-02 16:13:35.549255
6_1421,CreateSalesOrder,2020-01-02 16:40:35.346769
6_1037,CreateSalesOrder,2020-01-02 16:43:46.887301
6_1566,CreateSalesOrder,2020-01-02 16:49:03.235224
6_1151,CreateSalesOrder,2020-01-02 17:22:14.228127
6_1547,CreateSalesOrder,2020-01-02 17:35:56.028921
6_1203,CreateSalesOrder,2020-01-02 18:23:11.096522
6_1116,CreateSalesOrder,2020-01-02 18:37:40.608322
6_1421,ChangeSalesOrderItem,2020-01-02 18:46:07.194814
6_1566,CreateDelivery,2020-01-02 18:51:08.078686
6_1429,CreateSalesOrder,2020-01-02 19:10:19.704542
6_1170,ChangeSalesOrderItem,2020-01-02 19:17:46.405256
6_1137,CreateSalesOrder,2020-01-02 19:40:06.192732
6_1108,ChangeSalesOrderItem,2020-01-02 20:01:20.600841
6_1100,CreateSalesOrder,2020-01-02 20:08:30.821091
6_1340,CreateSalesOrder,2020-01-02 20:12:10.113416
6_1414,CreateSalesOrder,2020-01-02 20:40:45.664426
6_1344,CreateDelivery,2020-01-02 20:43:18.426386
6_1235,CreateSalesOrder,2020-01-02 20:55:20.490848
6_1373,CreateSalesOrder,2020-01-02 20:58:32.732026
6_1137,ChangeSalesOrderItem,2020-01-02 21:08:17.885463
6_1600,ChangeSalesOrderItem,2020-01-02 21:12:13.978315
6_1351,CreateDelivery,2020-01-02 21:19:30.665879
6_1189,CreateDelivery,2020-01-02 21:24:54.792720
6_1588,CreateSalesOrder,2020-01-02 21:55:29.114070
